sourceId;lat;lon;elev;value;prid;dqc
METSN76450:0;65.7017;11.8562;4;4.9;1;0
METSN76530:0;65.8295;12.4255;21;5;1;0
METSN9380:0;62.2958;9.352;1475;-4.1;1;0
METSN95350:0;70.06;24.9793;5;-9.4;1;0
METSN41825:0;58.134;7.0452;6;7.1;1;0
METSN61420:0;62.4458;7.8355;67;8.6;1;0
METSN53101:0;61.1724;6.6452;49;7.5;1;0
METSN4920:0;60.1268;11.3933;160;3.5;1;0
METSN94500:0;71.0937;23.9817;13;-5.3;1;0
METSN86740:0;68.6072;14.4347;8;2.2;1;0
METSN51800:0;60.7022;6.9373;695;3.8;1;0
METSN27214:0;59.41945;10.2739;110;3.7;1;0
METSN90560:0;69.6988;18.8772;63;-3.3;1;0
METSN45350:0;59.0552;6.6467;5;6.9;1;0
METSN79720:0;66.2785;14.8892;550;-3.8;1;0
METSN31970:0;59.8497;8.6562;1804;-5.2;1;0
METSN55740:0;61.3648;6.9077;443;1.9;1;0
METSN27010:0;59.713;10.146;193;2.8;1;0
METSN44080:0;58.6592;5.5553;24;6.7;1;0
METSN79764:0;66.4993;14.954;251;-2.4;1;0
METSN73466:0;64.4595;13.5978;420;0.9;1;0
METSN9050:0;62.063;9.9907;800;-0.7;1;0
METSN68110:0;63.4182;10.2642;451;1.9;1;0
METSN63630:0;62.6352;9.392;1550;-4.3;1;0
METSN3810:0;59.5872;11.166;141;3.7;1;0
METSN98580:0;70.3545;31.044;12;-4.9;1;0
METSN82110:0;67.2763;15.1018;20;-0.8;1;0
METSN3290:0;59.3882;11.3905;100;3.5;1;0
METSN91551:0;69.4802;20.8693;20;-4.9;1;0
METSN91502:0;69.5575;20.4133;650;-10.3;1;0
METSN99460:0;69.4552;30.041;27;-13.5;1;0
METSN27400:0;59.23662;10.45604;2;5.2;1;0
METSN71550:0;63.7045;9.6105;10;6.6;1;0
METSN73550:0;64.531;12.3837;95;3.8;1;0
METSN25110:0;60.8548;8.593;604;0.6;1;0
METSN96220:0;70.5815;26.9938;18;-8.9;1;0
METSN98642:0;70.2932;30.1908;107;-9;1;0
METSN97251:0;69.4635;25.5023;131;-10.2;1;0
METSN3190:0;59.2852;11.1128;57;5.1;1;0
METSN18270:0;59.9683;10.9185;200;3;1;0
METSN44730:0;58.8662;5.7592;19;7;1;0
METSN91380:0;69.3875;20.2823;20;-6;1;0
METSN46930:0;59.4927;5.7208;20;6.8;1;0
METSN25115:0;60.8397;8.4968;1344;-3;1;0
METSN53530:0;60.6563;7.2755;1162;-0.8;1;0
METSN57770:0;61.5717;4.6817;26;7.4;1;0
METSN91130:0;69.5588;20.094;710;-10.1;1;0
METSN93700:0;68.9968;23.0335;307;-11.6;1;0
METSN91740:0;69.7887;20.9553;6;-6.7;1;0
METSN49220:0;60.0447;6.5395;89;6.5;1;0
METSN27212:0;59.4173;10.2087;83;3.9;1;0
METSN27272:0;59.2937;10.4275;55;4.3;1;0
METSN50503:0;60.35;5.3967;221;5.4;1;0
METSN75410:0;64.7977;10.5493;33;5.9;1;0
METSN39100:0;58.0732;8.0532;9;6.6;1;0
METSN70850:0;64.1587;12.4692;195;3.2;1;0
METSN69380:0;63.4115;11.7277;169;5.7;1;0
METSN13750:0;61.4183;8.8945;1088;-1.9;1;0
METSN61060:0;62.6512;6.7552;43;7.2;1;0
METSN27262:0;59.2952;10.5145;3;4.6;1;0
METSN17050:0;59.3188;10.8145;12;4.8;1;0
METSN25541:0;60.68108;8.00375;992;-0.7;1;0
METSN79700:0;66.3962;14.53;110;-1.4;1;0
METSN85380:0;68.1535;14.6485;14;3;1;0
METSN62290:0;62.7413;7.2275;5;7.2;1;0
METSN65451:0;63.5187;9.1125;13;7.7;1;0
METSN44610:0;59.0705;5.4122;21;7;1;0
METSN12290:0;60.80056;11.0948;141;3.4;1;0
METSN27162:0;59.3563;10.46;61;4.6;1;0
METSN68290:0;63.2248;11.0075;160;5.3;1;0
METSN4200:0;59.9708;11.0383;108;3.5;1;0
METSN65310:0;63.5176;7.9482;4;7.2;1;0
METSN97350:0;69.3695;24.4312;286;-12.2;1;0
METSN27318:0;59.363;10.3672;46;4.4;1;0
METSN31400:0;59.8655;8.6978;1008;-0.4;1;0
METSN49245:0;59.9333;6.5887;255;2.7;1;0
